"","year","variable","value"
"1",1991,"pitt.real.growth",-0.915830000000001
"2",1992,"pitt.real.growth",3.45838
"3",1993,"pitt.real.growth",-0.0696500000000002
"4",1994,"pitt.real.growth",0.9044
"5",1995,"pitt.real.growth",1.69458
"6",1996,"pitt.real.growth",1.56333
"7",1997,"pitt.real.growth",3.36243
"8",1998,"pitt.real.growth",3.35299
"9",1999,"pitt.real.growth",4.90686
"10",2000,"pitt.real.growth",0.33332
"11",2001,"pitt.real.growth",0.98337
"12",2002,"pitt.real.growth",-0.89567
"13",2003,"pitt.real.growth",-0.898
"14",2004,"pitt.real.growth",1.53243
"15",2005,"pitt.real.growth",-0.66583
"16",2006,"pitt.real.growth",2.27791
"17",2007,"pitt.real.growth",3.12945
"18",2008,"pitt.real.growth",-0.71495
"19",2009,"pitt.real.growth",-2.17964
"20",2010,"pitt.real.growth",1.26343
"21",2011,"pitt.real.growth",2.26035
"22",2012,"pitt.real.growth",2.42681
"23",2013,"pitt.real.growth",0.43403
"24",2014,"pitt.real.growth",0.98454
"25",2015,"pitt.real.growth",4.07886
"26",2016,"pitt.real.growth",-1.66736
"27",2017,"pitt.real.growth",1.76856
"28",2018,"pitt.real.growth",1.86124
"29",2019,"pitt.real.growth",2.18893
"30",2020,"pitt.real.growth",-3.0485
"31",2021,"pitt.real.growth",1.51477
"32",1991,"us.real.growth",-1.81583
"33",1992,"us.real.growth",2.85838
"34",1993,"us.real.growth",0.73035
"35",1994,"us.real.growth",2.6044
"36",1995,"us.real.growth",3.19458
"37",1996,"us.real.growth",3.26333
"38",1997,"us.real.growth",5.26243
"39",1998,"us.real.growth",6.45299
"40",1999,"us.real.growth",4.60686
"41",2000,"us.real.growth",4.93332
"42",2001,"us.real.growth",-0.51663
"43",2002,"us.real.growth",-1.19567
"44",2003,"us.real.growth",0.102
"45",2004,"us.real.growth",2.73243
"46",2005,"us.real.growth",1.83417
"47",2006,"us.real.growth",3.17791
"48",2007,"us.real.growth",2.82945
"49",2008,"us.real.growth",-1.71495
"50",2009,"us.real.growth",-4.27964
"51",2010,"us.real.growth",0.36343
"52",2011,"us.real.growth",0.86035
"53",2012,"us.real.growth",2.32681
"54",2013,"us.real.growth",1.33403
"55",2014,"us.real.growth",3.58454
"56",2015,"us.real.growth",5.07886
"57",2016,"us.real.growth",1.73264
"58",2017,"us.real.growth",2.56856
"59",2018,"us.real.growth",2.56124
"60",2019,"us.real.growth",2.98893
"61",2020,"us.real.growth",0.2515
"62",2021,"us.real.growth",4.41477
